Year,Month_Number,Month,Day,Zone,Tournament,RowNum
2022,1,Jan,4,Australia,Adelaide International 1,1
2022,1,Jan,17,Australia,Australian Open,1
2022,2,Feb,1,South America,Cordoba Open,1
2022,2,Feb,8,South America,Argentina Open,1
2022,2,Feb,15,Europe,Open 13,1
2022,2,Feb,22,South America,Chile Open,1
2022,3,Mar,12,North America,BNP Paribas Open,1
2022,4,Apr,12,Europe,Monte Carlo Masters,1
2022,4,Apr,18,Europe,Serbia Open,1
2022,4,Apr,25,Europe,BMW Open,1
2022,5,May,15,Europe,Lyon Open,1
2022,5,May,24,Europe,French Open,1
2022,6,Jun,13,Europe,Halle Open,1
2022,6,Jun,21,Europe,Eastbourne International,1
2022,6,Jun,28,Europe,Wimbledon,1
2022,7,Jul,12,Europe,Nordea Open,1
2022,7,Jul,19,Europe,European Open,1
2022,7,Jul,27,Europe,Croatia Open,1
2022,8,Aug,3,North America,Citi Open,1
2022,8,Aug,9,North America,Canadian Open,1
2022,8,Aug,15,North America,Western & Southern Financial Group Masters,1
2022,8,Aug,30,North America,US Open,1
2022,9,Sep,23,Europe,Open de Moselle,1
2022,9,Sep,27,Europe,Sofia Open,1
2022,10,Oct,17,Europe,Stockholm Open,1
2022,10,Oct,26,Europe,Swiss Indoors,1
2022,11,Nov,1,Europe,BNP Paribas Masters,1
